pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,pizza_size,unit_price,total_price,pizza_category,pizza_ingredients
1.00,1.00,bbq_ckn_m,5.00,1/4/2015,01:47:00.000,M,9.73,48.65,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
2.00,2.00,pepperoni_s,1.00,1/20/2015,22:14:00.000,XL,17.28,17.28,Classic,"Pepperoni, Mozzarella Cheese"
3.00,2.00,pepperoni_s,2.00,1/19/2015,01:34:00.000,M,17.57,35.14,Classic,"Pepperoni, Mozzarella Cheese"
4.00,3.00,veggie_l,3.00,1/7/2015,15:08:00.000,S,18.09,54.27,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
5.00,3.00,five_cheese_l,2.00,1/3/2015,14:01:00.000,S,17.48,34.96,Classic,"Mozzarella Cheese, Provolone, Parmesan, Cheddar, Gouda"
6.00,4.00,pepperoni_s,2.00,1/16/2015,02:06:00.000,S,16.43,32.86,Classic,"Pepperoni, Mozzarella Cheese"
7.00,4.00,pepperoni_s,4.00,1/2/2015,14:10:00.000,M,13.27,53.08,Classic,"Pepperoni, Mozzarella Cheese"
8.00,5.00,classic_dlx_m,5.00,1/10/2015,15:30:00.000,S,17.73,88.65,Classic,"Pepperoni, Mushrooms, Red Onions"
9.00,5.00,meat_lovers_xl,3.00,1/11/2015,18:11:00.000,L,14.23,42.69,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
10.00,6.00,veggie_l,5.00,1/3/2015,15:07:00.000,S,9.32,46.60,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
11.00,6.00,classic_dlx_m,4.00,1/13/2015,18:36:00.000,M,8.65,34.60,Classic,"Pepperoni, Mushrooms, Red Onions"
12.00,7.00,bbq_ckn_m,5.00,1/5/2015,23:19:00.000,S,15.16,75.80,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
13.00,7.00,meat_lovers_xl,1.00,1/14/2015,18:00:00.000,S,11.64,11.64,Classic,"Sausage, Pepperoni, Ham, Bacon, Beef"
14.00,8.00,pepperoni_s,5.00,1/19/2015,02:20:00.000,M,9.98,49.90,Classic,"Pepperoni, Mozzarella Cheese"
15.00,8.00,bbq_ckn_m,2.00,1/21/2015,11:24:00.000,S,13.82,27.64,Classic,"Chicken, BBQ Sauce, Red Onions, Mozzarella Cheese"
16.00,9.00,classic_dlx_m,4.00,1/5/2015,06:49:00.000,L,19.57,78.28,Classic,"Pepperoni, Mushrooms, Red Onions"
17.00,9.00,veggie_l,2.00,1/9/2015,18:45:00.000,XL,18.64,37.28,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
18.00,10.00,pepperoni_s,1.00,1/2/2015,13:24:00.000,M,18.61,18.61,Classic,"Pepperoni, Mozzarella Cheese"
19.00,10.00,veggie_l,5.00,1/14/2015,04:33:00.000,XL,15.40,77.00,Classic,"Bell Peppers, Olives, Tomatoes, Onions, Mushrooms"
20.00,11.00,classic_dlx_m,1.00,1/12/2015,03:18:00.000,XL,8.49,8.49,Classic,"Pepperoni, Mushrooms, Red Onions"
21.00,11.00,classic_dlx_m,4.00,1/19/2015,18:41:00.000,L,15.72,62.88,Classic,"Pepperoni, Mushrooms, Red Onions"
22.00,12.00,classic_dlx_m,5.00,1/6/2015,20:44:00.000,L,15.02,75.10,Classic,"Pepperoni, Mushrooms, Red Onions"
23.00,12.00,classic_dlx_m,4.00,1/2/2015,06:47:00.000,XL,12.52,50.08,Classic,"Pepperoni, Mushrooms, Red Onions"
